Listening for UDP packets on port 9998...
Timestamp: 14.18, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.19, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.20, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.21, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.22, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.23, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.24, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.25, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.26, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.98, 0.16, -0.04)
Timestamp: 14.27, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.28, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.29, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.98, 0.16, -0.04)
Timestamp: 14.30, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.31, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.32, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.98, 0.16, -0.04)
Timestamp: 14.33, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.34, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.35, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.36, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.98, 0.16, -0.04)
Timestamp: 14.37, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.98, 0.17, -0.04)
Timestamp: 14.38, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.98, 0.17, -0.04)
Timestamp: 14.39, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.40, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.41, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.42, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.43, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
Timestamp: 14.44, Position: (1037.45, -0.01, 971.20), Euler Angles: (-0.99, 0.16, -0.04)
