Timestamp: 987.98, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 987.99, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.99, -16.64)
Timestamp: 988.00, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 988.01, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.64)
Timestamp: 988.02, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.65)
Timestamp: 988.03, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 988.04, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.99, -16.64)
Timestamp: 988.05, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 988.06, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.64)
Timestamp: 988.07, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.65)
Timestamp: 988.08, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 988.09, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.99, -16.64)
Timestamp: 988.10, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 988.11, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.64)
Timestamp: 988.12, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.65)
Timestamp: 988.13, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 988.14, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 988.15, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 988.16, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.64)
Timestamp: 988.17, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.65)
Timestamp: 988.18, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 988.19, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 988.20, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 988.21, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.64)
Timestamp: 988.22, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.65)
Timestamp: 988.23, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 988.24, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 988.25, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 988.26, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.64)
Timestamp: 988.27, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.65)
Timestamp: 988.28, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 988.29, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 988.30, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 988.31, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.64)
Timestamp: 988.32, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.65)
Timestamp: 988.33, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 988.34, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.99, -16.65)
Timestamp: 988.35, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.65)
Timestamp: 988.36, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 988.37, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.64)
Timestamp: 988.38, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 988.39, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 988.40, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.99, -16.64)
Timestamp: 988.41, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 988.42, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.64)
Timestamp: 988.43, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.65)
Timestamp: 988.44, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 988.45, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.99, -16.64)
Timestamp: 988.46, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 988.47, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.64)
Timestamp: 988.48, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.65)
Timestamp: 988.49, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 988.50, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.99, -16.64)
Timestamp: 988.51, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 988.52, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.64)
